import time: self [us] | cumulative | imported package
import time:     15268 |      15268 |           _ssl
import time:       920 |        920 |           base64
import time:      4971 |      21158 |         ssl
import time:       767 |        767 |         asyncio.constants
import time:       446 |        446 |         asyncio.coroutines
import time:       673 |        673 |           contextvars
import time:       590 |        590 |           asyncio.format_helpers
import time:       208 |        208 |             asyncio.base_futures
import time:       194 |        194 |             asyncio.exceptions
import time:       237 |        237 |             asyncio.base_tasks
import time:     10371 |      11008 |           _asyncio
import time:      1048 |      13318 |         asyncio.events
import time:       406 |        406 |         asyncio.futures
import time:       524 |        524 |         asyncio.protocols
import time:       448 |        448 |           asyncio.transports
import time:       348 |        348 |           asyncio.log
import time:       875 |       1671 |         asyncio.sslproto
import time:       364 |        364 |             asyncio.mixins
import time:       741 |       1104 |           asyncio.locks
import time:       451 |        451 |             asyncio.queues
import time:       619 |        619 |             asyncio.timeouts
import time:       718 |       1788 |           asyncio.tasks
import time:       625 |       3516 |         asyncio.staggered
import time:       265 |        265 |         asyncio.trsock
import time:      1855 |      71046 |       asyncio.base_events
import time:      1131 |       1131 |       asyncio.graph
import time:       495 |        495 |       asyncio.runners
import time:       635 |        635 |       asyncio.streams
import time:       402 |        402 |       asyncio.subprocess
import time:       243 |        243 |       asyncio.taskgroups
import time:       424 |        424 |       asyncio.threads
import time:       468 |        468 |         asyncio.base_subprocess
import time:       589 |        589 |         asyncio.selector_events
import time:       676 |       1732 |       asyncio.unix_events
import time:      2251 |      78353 |     asyncio
import time:       916 |        916 |     pkgutil
import time:      3343 |      82611 |   unittest.mock
import time:   1379643 |    1379643 |       sqlalchemy.util.preloaded
import time:   1439961 |    1439961 |           sqlalchemy.cyextension
import time:   2191495 |    2191495 |           sqlalchemy.cyextension.collections
import time:   1480609 |    1480609 |           sqlalchemy.cyextension.immutabledict
import time:   1542443 |    1542443 |           sqlalchemy.cyextension.processors
import time:   1314030 |    1314030 |           sqlalchemy.cyextension.resultproxy
import time:      6556 |       6556 |                   _hashlib
import time:      9613 |       9613 |                   _blake2
import time:      1002 |      17169 |                 hashlib
import time:      1095 |       1095 |                 sysconfig
import time:       320 |        320 |                 _osx_support
import time:   1856535 |    1875118 |               sqlalchemy.util.compat
import time:   1778104 |    3653221 |             sqlalchemy.exc
import time:   1871286 |    5524507 |           sqlalchemy.cyextension.util
import time:   1760687 |   15253731 |         sqlalchemy.util._has_cy
import time:   1745138 |    1745138 |           typing_extensions
import time:   1268575 |    3013712 |         sqlalchemy.util.typing
import time:   1346166 |   19613608 |       sqlalchemy.util._collections
import time:   1581312 |    1581312 |           greenlet._greenlet
import time:   1324833 |    2906144 |         greenlet
import time:   1643812 |    1643812 |           sqlalchemy.util.langhelpers
import time:   1541290 |    3185101 |         sqlalchemy.util._concurrency_py3k
import time:   1611498 |    7702742 |       sqlalchemy.util.concurrency
import time:   1542140 |    1542140 |       sqlalchemy.util.deprecations
import time:   1451400 |   31689532 |     sqlalchemy.util
import time:    929262 |     929262 |                       sqlalchemy.event.registry
import time:   1318782 |    2248044 |                     sqlalchemy.event.legacy
import time:   1230627 |    3478670 |                   sqlalchemy.event.attr
import time:   1459954 |    4938624 |                 sqlalchemy.event.base
import time:   1408236 |    6346859 |               sqlalchemy.event.api
import time:   1488244 |    7835103 |             sqlalchemy.event
import time:   1088808 |    1088808 |                   sqlalchemy.log
import time:   1362086 |    2450894 |                 sqlalchemy.pool.base
import time:   1077523 |    3528416 |               sqlalchemy.pool.events
import time:   1831035 |    1831035 |                 sqlalchemy.util.queue
import time:   1441361 |    3272396 |               sqlalchemy.pool.impl
import time:   1600767 |    8401578 |             sqlalchemy.pool
import time:   1976743 |    1976743 |                   sqlalchemy.sql.roles
import time:   1222664 |    1222664 |                   sqlalchemy.inspection
import time:   1729560 |    4928966 |                 sqlalchemy.sql._typing
import time:   1142074 |    1142074 |                   sqlalchemy.sql.visitors
import time:   1486983 |    1486983 |                   sqlalchemy.sql.cache_key
import time:   1647623 |    1647623 |                     sqlalchemy.sql.operators
import time:   1387280 |    3034902 |                   sqlalchemy.sql.traversals
import time:   1442335 |    7106293 |                 sqlalchemy.sql.base
import time:   1482501 |    1482501 |                   sqlalchemy.sql.coercions
import time:   1190417 |    1190417 |                         sqlalchemy.sql.annotation
import time:   2177978 |    2177978 |                             sqlalchemy.sql.type_api
import time:   1975028 |    4153005 |                           sqlalchemy.sql.elements
import time:   1224009 |    1224009 |                           sqlalchemy.util.topological
